1,walk,32,14605414,3.780
1,walk,32,16205722,3.512
1,walk,64,0001024,4.061
1,walk,64,0001136,3.007
1,walk,64,0001260,3.005
1,walk,64,0001398,3.001
1,walk,64,0001552,3.015
1,walk,64,0001722,3.064
1,walk,64,0001910,3.055
1,walk,64,0002120,3.011
1,walk,64,0002352,3.470
1,walk,64,0002610,3.378
1,walk,64,0002896,3.017
1,walk,64,0003213,3.025
1,walk,64,0003565,3.320
1,walk,64,0003956,3.331
1,walk,64,0004389,3.277
1,walk,64,0004870,3.052
1,walk,64,0005404,3.453
1,walk,64,0005996,3.227
1,walk,64,0006653,3.275
1,walk,64,0007383,3.354
1,walk,64,0008192,3.192
1,walk,64,0009089,3.273
1,walk,64,0010085,3.218
1,walk,64,0011190,3.092
1,walk,64,0012416,3.000
1,walk,64,0013777,2.997
1,walk,64,0015286,3.000
1,walk,64,0016961,3.017
1,walk,64,0018820,2.996
1,walk,64,0020882,3.000
1,walk,64,0023170,2.999
1,walk,64,0025709,3.083
1,walk,64,0028526,3.077
1,walk,64,0031651,3.352
1,walk,64,0035119,4.254
1,walk,64,0038967,4.897
1,walk,64,0043237,5.303
1,walk,64,0047975,5.001
1,walk,64,0053231,4.999
1,walk,64,0059064,4.996
1,walk,64,0065536,5.053
1,walk,64,0072716,4.974
1,walk,64,0080684,5.005
1,walk,64,0089524,5.110
1,walk,64,0099334,5.036
1,walk,64,0110217,5.001
1,walk,64,0122294,5.150
1,walk,64,0135694,5.209
1,walk,64,0150562,5.131
1,walk,64,0167059,5.154
1,walk,64,0185363,5.297
1,walk,64,0205674,5.380
1,walk,64,0228209,5.144
1,walk,64,0253214,5.166
1,walk,64,0280958,5.462
1,walk,64,0311743,5.455
1,walk,64,0345901,5.341
1,walk,64,0383801,5.445
1,walk,64,0425854,5.407
1,walk,64,0472514,5.283
1,walk,64,0524288,5.306
1,walk,64,0581733,5.346
1,walk,64,0645474,5.290
1,walk,64,0716198,5.124
1,walk,64,0794672,5.420
1,walk,64,0881743,5.336
1,walk,64,0978356,5.530
1,walk,64,1085553,5.670
1,walk,64,1204497,5.486
1,walk,64,1336473,5.698
1,walk,64,1482910,5.626
1,walk,64,1645392,5.833
1,walk,64,1825676,5.885
1,walk,64,2025715,5.732
1,walk,64,2247671,5.921
1,walk,64,2493948,5.783
1,walk,64,2767208,5.612
1,walk,64,3070410,5.668
1,walk,64,3406833,5.732
1,walk,64,3780118,5.541
1,walk,64,4194304,5.591
1,walk,64,4653871,5.418
1,walk,64,5163793,5.503
1,walk,64,5729588,5.995
1,walk,64,6357376,5.953
1,walk,64,7053950,5.812
1,walk,64,7826848,5.555
1,walk,64,8684431,5.651
1,walk,64,9635980,5.656
1,walk,64,10691789,5.600
1,walk,64,11863283,5.554
1,walk,64,13163136,5.620
1,walk,64,14605414,5.867
1,walk,64,16205722,5.503
1,walk,128,0001024,4.032
1,walk,128,0001136,3.027
1,walk,128,0001260,3.022
1,walk,128,0001398,3.018
1,walk,128,0001552,3.017
1,walk,128,0001722,3.015
1,walk,128,0001910,3.015
1,walk,128,0002120,3.013
1,walk,128,0002352,3.470
1,walk,128,0002610,3.404
1,walk,128,0002896,3.012
1,walk,128,0003213,3.009
1,walk,128,0003565,3.013
1,walk,128,0003956,3.010
1,walk,128,0004389,3.510
1,walk,128,0004870,3.234
1,walk,128,0005404,3.191
1,walk,128,0005996,3.198
1,walk,128,0006653,3.039
1,walk,128,0007383,3.147
1,walk,128,0008192,3.271
1,walk,128,0009089,3.306
1,walk,128,0010085,3.057
1,walk,128,0011190,2.950
1,walk,128,0012416,2.950
1,walk,128,0013777,2.950
1,walk,128,0015286,2.949
1,walk,128,0016961,2.950
1,walk,128,0018820,2.949
1,walk,128,0020882,3.106
1,walk,128,0023170,2.949
1,walk,128,0025709,2.949
1,walk,128,0028526,2.949
1,walk,128,0031651,2.963
1,walk,128,0035119,4.523
1,walk,128,0038967,5.796
1,walk,128,0043237,6.089
1,walk,128,0047975,6.423
1,walk,128,0053231,5.608
1,walk,128,0059064,6.077
1,walk,128,0065536,6.357
1,walk,128,0072716,5.982
1,walk,128,0080684,5.891
1,walk,128,0089524,6.117
1,walk,128,0099334,5.931
1,walk,128,0110217,5.942
1,walk,128,0122294,5.949
1,walk,128,0135694,5.893
1,walk,128,0150562,5.957
1,walk,128,0167059,5.991
1,walk,128,0185363,5.659
1,walk,128,0205674,6.030
1,walk,128,0228209,6.065
1,walk,128,0253214,5.883
1,walk,128,0280958,5.614
1,walk,128,0311743,5.810
1,walk,128,0345901,5.833
1,walk,128,0383801,5.981
1,walk,128,0425854,5.829
1,walk,128,0472514,5.784
1,walk,128,0524288,5.643
1,walk,128,0581733,5.827
1,walk,128,0645474,5.831
1,walk,128,0716198,5.742
1,walk,128,0794672,5.650
1,walk,128,0881743,5.783
1,walk,128,0978356,5.740
1,walk,128,1085553,5.706
1,walk,128,1204497,5.637
1,walk,128,1336473,5.644
1,walk,128,1482910,5.649
1,walk,128,1645392,5.720
1,walk,128,1825676,5.757
1,walk,128,2025715,5.760
1,walk,128,2247671,5.732
1,walk,128,2493948,5.816
1,walk,128,2767208,5.991
1,walk,128,3070410,5.898
1,walk,128,3406833,5.726
1,walk,128,3780118,5.729
1,walk,128,4194304,6.552
1,walk,128,4653871,6.806
1,walk,128,5163793,7.185
1,walk,128,5729588,7.985
1,walk,128,6357376,8.121
1,walk,128,7053950,8.960
1,walk,128,7826848,9.219
1,walk,128,8684431,9.638
1,walk,128,9635980,10.036
1,walk,128,10691789,10.114
1,walk,128,11863283,10.225
1,walk,128,13163136,10.512
1,walk,128,14605414,10.533
1,walk,128,16205722,10.791
1,inc,16,0001024,3.315
1,inc,16,0001136,3.253
1,inc,16,0001260,3.260
1,inc,16,0001398,3.252
1,inc,16,0001552,3.258
1,inc,16,0001722,3.270
1,inc,16,0001910,3.733
1,inc,16,0002120,3.751
1,inc,16,0002352,3.649
1,inc,16,0002610,3.255
1,inc,16,0002896,3.255
1,inc,16,0003213,3.221
1,inc,16,0003565,3.239
1,inc,16,0003956,3.221
1,inc,16,0004389,3.240
1,inc,16,0004870,3.404
1,inc,16,0005404,3.203
1,inc,16,0005996,3.196
1,inc,16,0006653,3.197
1,inc,16,0007383,3.192
1,inc,16,0008192,3.195
1,inc,16,0009089,3.185
1,inc,16,0010085,3.228
1,inc,16,0011190,3.404
1,inc,16,0012416,3.274
1,inc,16,0013777,3.407
1,inc,16,0015286,3.355
1,inc,16,0016961,3.246
1,inc,16,0018820,3.200
1,inc,16,0020882,3.196
1,inc,16,0023170,3.203
1,inc,16,0025709,3.188
1,inc,16,0028526,3.510
1,inc,16,0031651,3.590
1,inc,16,0035119,3.598
1,inc,16,0038967,3.969
1,inc,16,0043237,3.784
1,inc,16,0047975,3.780
1,inc,16,0053231,3.781
1,inc,16,0059064,3.886
1,inc,16,0065536,3.784
1,inc,16,0072716,3.776
1,inc,16,0080684,3.812
1,inc,16,0089524,3.943
1,inc,16,0099334,3.801
1,inc,16,0110217,3.844
1,inc,16,0122294,3.846
1,inc,16,0135694,3.792
1,inc,16,0150562,3.808
1,inc,16,0167059,3.863
1,inc,16,0185363,3.800
1,inc,16,0205674,3.734
1,inc,16,0228209,3.801
1,inc,16,0253214,3.689
1,inc,16,0280958,3.760
1,inc,16,0311743,3.558
1,inc,16,0345901,3.612
1,inc,16,0383801,3.594
1,inc,16,0425854,3.601
1,inc,16,0472514,3.578
1,inc,16,0524288,3.356
1,inc,16,0581733,3.312
1,inc,16,0645474,3.258
1,inc,16,0716198,3.306
1,inc,16,0794672,3.238
1,inc,16,0881743,3.264
1,inc,16,0978356,3.410
1,inc,16,1085553,3.415
1,inc,16,1204497,3.419
1,inc,16,1336473,3.515
1,inc,16,1482910,3.662
1,inc,16,1645392,3.698
1,inc,16,1825676,3.787
1,inc,16,2025715,3.764
1,inc,16,2247671,3.746
1,inc,16,2493948,3.762
1,inc,16,2767208,3.674
1,inc,16,3070410,3.577
1,inc,16,3406833,3.694
1,inc,16,3780118,3.513
1,inc,16,4194304,3.369
1,inc,16,4653871,3.646
1,inc,16,5163793,3.509
1,inc,16,5729588,3.641
1,inc,16,6357376,3.594
1,inc,16,7053950,3.510
1,inc,16,7826848,3.466
1,inc,16,8684431,3.576
1,inc,16,9635980,3.610
1,inc,16,10691789,3.542
1,inc,16,11863283,3.793
1,inc,16,13163136,3.737
1,inc,16,14605414,3.685
1,inc,16,16205722,3.856
1,inc,32,0001024,3.264
1,inc,32,0001136,3.232
1,inc,32,0001260,3.222
1,inc,32,0001398,3.232
1,inc,32,0001552,3.250
1,inc,32,0001722,3.273
1,inc,32,0001910,3.254
1,inc,32,0002120,3.233
1,inc,32,0002352,3.275
1,inc,32,0002610,3.659
1,inc,32,0002896,3.270
1,inc,32,0003213,3.240
1,inc,32,0003565,3.231
1,inc,32,0003956,3.222
1,inc,32,0004389,3.508
1,inc,32,0004870,3.871
1,inc,32,0005404,3.574
1,inc,32,0005996,3.358
1,inc,32,0006653,3.332
1,inc,32,0007383,3.356
1,inc,32,0008192,3.345
1,inc,32,0009089,3.353
1,inc,32,0010085,3.342
1,inc,32,0011190,3.340
1,inc,32,0012416,3.352
1,inc,32,0013777,3.353
1,inc,32,0015286,3.345
1,inc,32,0016961,3.350
1,inc,32,0018820,3.268
1,inc,32,0020882,3.225
1,inc,32,0023170,3.213
1,inc,32,0025709,3.214
1,inc,32,0028526,3.209
1,inc,32,0031651,3.212
1,inc,32,0035119,3.979
1,inc,32,0038967,4.315
1,inc,32,0043237,4.476
1,inc,32,0047975,4.410
1,inc,32,0053231,4.472
1,inc,32,0059064,4.486
1,inc,32,0065536,4.465
1,inc,32,0072716,4.358
1,inc,32,0080684,4.435
1,inc,32,0089524,4.565
1,inc,32,0099334,4.857
1,inc,32,0110217,4.601
1,inc,32,0122294,4.449
1,inc,32,0135694,4.343
